,shop_comment
0,"洗后没效果，不好用...,我用了感觉有明显的变化,那些喜欢有泡沫的同志,我只想说泡沫只是一种化学成分，对人体伤害很大的，那些廉价的洗发露虽然有很多泡沫，可是用了并没有好转，反而对发质有伤害，还有一分钱一分货，网上是便宜可是那是假...,味道清新，但是！没有泡沫！！！！！。。。。。。。。。。。。。。。。。。。。。。。。。...,无功无过的洗发水吧，用起来很一般，没有什么特别的，味道清爽，去屑的效果一般，价格倒是不是很便宜哦。...,不喜欢的香味，而且不容易起泡泡，泡沫太少，洗后头发也没怎么样，不会买。...,大爱他家的东西...,爸妈一直用这个洗发水，去除头皮屑还是比较有效的，用量也比较省，就是起泡不会特别丰富，但是清洁还不错...,爸爸单位发的货。 我没有什么头屑，所以基本没用出去屑的效果 但是真的比较难用，头发会打结，一点儿也不顺滑，而且还会头皮痒啊！！！！ 安利的洗发和护法产品怎么那么难用啊...,很好的产品，我要申请。...,用起来还行..."
1,"内买的。Edt嘛，比较淡。味道比较大陆。一般般～...,刚开始的前调不是我很爱的那种，但是朋友的强烈推荐我闻了它的中调，毫不犹豫要下了它.....绝无仅有的特别!...,我很喜欢...,力挺这款...,挺好的...,挺好的...,没什么感觉...,香水外国牌子多，而且瓶子上功夫都下不少，非凡的精致、漂亮。 光瓶子就让人喜欢得不得了。还没有用过香水呢，不知道到底有什么效果。 期待！...,七夕情人节老公送的礼物。当时去专柜闻了很多香型，最后还是选择了这款。...,看起来不错！一定要试一下！..."
2,"支持一下...,赞一个...,灰常好...,这款唇彩超级好用，滋润度很好，味道也很好闻，估计会一直用。...,单独涂抹，还是配搭唇膏使用，璀璨光芒都将闪现唇间。...,一直很喜欢，不过一直没买，主要是太可爱的会不舍得用，小小的又怕丢...,买了2合眼影 赠送了一只正品唇彩，还好呢
香味比较适合...,这款唇彩，味道清新，涂在唇上的保湿效果相当不错，而且嘴唇看起来很亮很饱满，比较性感。...,有点小小失望...,我买化妆品最喜欢买的就是粉底和口红，特别是口红，早上上班时我宁愿在床上多赖几分钟，也懒的化妆，只在上班前拿一只口红随便擦擦，口红对提亮肤色和显出好的气色真的有大作同，一般我很少用唇彩，喜欢用唇膏。这个..."
3,"情人节给自己买的礼物，挑了好久，基本没怎么用。...,干练的女香，而且有一种不腻的甜味，就是很独立的女性即视感啊，但又不失温婉的那种...,初闻被它特别的气味吸引，和其他一众香氛都不一样，干练简洁feel，但入手一年也未用几回，果然我还是更钟爱甜美范儿…...,很棒的产品，推荐...,用了很惊喜...,挺好的...,用了感觉不错...,很女人的香，虽然说是淡香水，但我觉得也挺浓的，味道一般吧，就瓶子好看...,很好闻的香香的味道，温和不刺激，留香时间还可以，不很很短也不是很长，主要是味道真的好好闻。...,就那样吧，一般..."
4,"好几天没洗脸，想着用一下这个面膜去去角质，用完了实在是太惊喜了！感觉脸亮白了一点点，而且皮肤变得又细又嫩，毛孔都小了很多。很喜欢！...,喜欢她家的味道，温和去角质，棒...,物理性的去角质产品，敏感皮表示伤不起。...,磨砂颗粒小 不刺激皮肤 味道太好闻了吧 洗后皮肤有细腻点...,我是混油肌 需要定期去角质 这款产品很温和 最突出的是味道好闻 上了一天班 闻这个味道 感觉身心放松 很享受 有柠檬的味道 做面膜前去个角质 做面膜效果会更好...,味道超级好闻，甜甜的，效果也不错...,确实使用后有效果，一瓶很耐用...,味道真心好闻，感觉随时忍不住会吃掉。...,买的小样回来试用的，到手分给了办公室的姐姐们一人一袋，获到了一致好评～然后终于有时间拿出来用了！味道甜甜的很喜欢！fresh家的产品都是纯天然无添加，办公室的姐姐敏感肌也没有过敏。这款是去角质的～用完之后一...,大牌护肤品的使用感超棒，弄一点在湿润的脸上轻柔的打圈按摩，待它慢慢融化之后用清水洗去，肌肤变得软软的，很干净柔和，还不干，简直太棒，回购..."
5,"粉质细腻，丝般光滑，易于上色，色泽持久，妆容舒美。含有珠光颗粒，感觉还不错，蛮闪耀的~~~...,跟风失败...,没那么好用...,还可以的...,跟风失败了...,他家东西物美价廉，这款眼影粉是我非常喜欢的，我每天都用，在他的魔力下我的眼睛神说而又美丽。...,涂上它，你似乎可以感受到聚光灯的照射，你似乎可以感觉到人们惊艳的目光，而你，就是魔力所在。...,就喜欢这个...,能衬出绝美肌肤的眼部妆容是怎样的？各种色彩纤细光泽的叠加，阴影突显，立体感油然而生。颜色很适合亚洲人的肤色，自然好搭，易上色，粉质细腻服帖。...,不会买了，很一般..."
6,"非常棒的产品...,我很喜欢...,非常好...,还会回购的...,爱这款...,虽然看上去的包装没有什么特别的地方，但是这款腮红很显色，颜色的选择也很多哦...,香味很好闻，不容易掉妆，粉质也很细腻，家里腮红好多啊！...,自己看不出来，但用后别人都赞我气色好，果然贴服自然得有浑然天成的效果了，呵呵！...,淡淡的香味也让人爱不释手，可以打造出刚出浴一样的红晕脸颊哦。哈，真的很喜欢。...,一直在用这款..."
8,"樱花版的这个真的很好闻 淡淡的。又不甜不腻 盒子也很简洁大气。还不容易撞香 西瓜红 红色粉色系的衣服很适合这个香气 难撞香...,丝弗兰买的 我好象还写过帖子 现在一致在用，用了一年多了 喜欢喷衣服上，味道不太持久，但很好闻 不过不会回购啦 香水一瓶真的能用很久 所以还是应该买小瓶的 不过还是推荐的...,非常难撞香。高大上的味道。 不是那种甜美范。冬天很适合。味道淡 觉得比迷恋浓香氛好闻。留香不短 也不长。但是淡淡的萦绕的那种味道 让人爱不释手...,丝弗兰八百多买的 感觉一般 不值得...,用起来还行...,就用这个一直都是...,我很喜欢...,好东西...,前味有一丁点不大好闻但是很快就散开，春秋天喷不错，或者学生喷喷也不错...,很喜欢这款产品，经常见到这个品牌的香水。..."
16,"现在闺蜜的图片都不更新啦……这款补湿液很温和很温和，其实啥也没有，纯补湿，价格还这么贵，容量特别小，一瓶最多用一个月，用这个不如用muji化妆水。性价比很低。...,适合敏感皮，就是性价比低...,补水效果非常好，适合干皮敏感肌肤...,太喜欢了  朋友送了一瓶  然后我就去专柜直接买了n瓶，以后家里常备 锁水 保湿 润泽，个人非常喜欢的一个牌子...,跟那个保湿乳配套用 量太少了 性价比不高 而且就仅仅是保湿而已 很多其他品牌都可以做到 不会回购...,小小的一瓶，保湿效果还可以，重要的是无添加用得放心。...,对于单纯补水来说真的很好。因为很难得完全没有负担感。就是太贵了。这么少。..., 好的水实在是太多了，这个就没什么感觉，再加上一个月一定要用完   感觉有点烦 ..., 用过很多很多水 基本都或多或少会过敏 我也不知道为什么... 无奈买了这个 这个 真的不过敏..... 而且也补水  到现在已经回购过无数瓶了  入眼也不刺激  后来也找过替代 至今还没找到.... ...,一段时间只用fancl产品，这款不知道败多少瓶了，当时皮肤还是泛红痘痘肌，后来没有红肿之后觉得这家还是分量太轻，滋润不够，不过其实不敏感，最大缺点就是开封三个月就过期，烧钱的玩意..."
17,"挺好的...,爱这款...,好...,补水不补油，适合混合型，干型以及极干性肤质使用。没有香味，不会担心香精的副作用。...,随便用用...,凑合用着...,一般我会用温和保湿的产品，用这个没有特别的感觉，肌肤维持现状...,用过的脸霜里最轻的了，挺舒服的没不良反应，我的敏感皮要求就这么简单了...,因人而异 感觉一般...,用这款面霜一点不油腻，在涂抹过程中能感觉到面霜被皮肤吃进去。能锁住皮肤的水分，滋润却一点不油腻！..."
19,"非常好...,挺好的...,就喜欢这个...,效果是立马就看得见的。第二天起来感觉精神特别好，皮肤是那种很饱满的感觉哦！...,季节更替需更换衣物，而我们的肌肤也应该适时换季养护啦！换季很烦恼，各种皮肤问题也随之而来，伊莎珂丝舒颜柔护精华素天然、温和、无刺激，敏感肌肤的救星，换季必备单品。滋养修复各类型的肌肤，容易吸收且不油腻...,这是一款彻底的抗衰老产品，但是，它不像其它抗衰老产品那样厚重，它容易吸收，涂完后不仅完全没有厚重油腻的感觉，反而让人觉得很清爽。...,在手部试用了之后，感觉细纹有所减淡这个吸收相当快，用在脸上非常好，吸收超级快，持久用下去脸会变得很光亮，仔细看成分很多都是精油的复合，非常天然，喜欢。...,长期下来会发现皮肤不干了，肤质变的光滑了，无论涂什么吸收都变很好，用了后细纹没有明显增加，总体感觉还是不错...,没啥作用...,不喜欢..."
20,"还会回购的...,挺好的...,跟风买的...,好东西...,顶这款...,非常棒的产品...,喜欢这个品牌...,透明水状质地用于面部能快速被肌肤吸收，不含香料所以也基本没啥味道，用后能快速为肌肤补充水分，肌肤变得滋润有光泽...,伴有花的淡淡香味，非常舒爽人心，当爽肤水或是定妆水都很适合，保湿、平衡，很nice的一款产品哦。...,虽然很滋润，不过却不油腻哦，这款化妆水的质感没有很稀或粘，就一般能够接受的程度啦，反正我就觉得不稀就可以了..."
22,"精华的重要性主要体现在能够集中补养肌肤，让肌肤得到最充沛的养分
众所周知玻尿酸的作用就是让皮肤保湿能力加倍，让他更加透亮
这款精华虽然很粘稠但是一抹就会化成水，让皮肤享受水润的滋养，很不错的精华液...,大爱他家的东西...,特别细腻，使用后皮肤特别滋润，自己也是使用这个牌子很多年了，当然这期间也尝试过其它的一些品牌，比较之下，还是最喜欢它，我的皮肤偏干性，这款乳液特别贴合皮肤，使用后一整天不干燥，皮肤润润滑滑的，真的很爱...,我的皮肤有点暗黄，用了它感觉很舒服，很透气。皮肤滋润了。...,延展性很好，很滋润，保湿效果好。...,具有优异的稳定性，直达肌肤深处，滋润肌肤的同时，引导理想透明感，滋润美白效果很是不错呢，赞一个哈...,用了之后也不会觉得很油腻，下面最怕出汗后防晒霜很油腻的感觉，这款用起来不油腻，很清爽。...,乳液延展性好，很好推，抹在脸上一点都不油腻，肌肤吸收也很快，可以说是保湿又清爽。...,不是很浓烈，喜欢，而且吸收的很快，一点都不油腻。但是吸收完后的皮肤并没有那么的滋润柔滑。大爱，用完后，还会再购买...,宝宝的皮肤前几天有点干燥，用了窧乳液以后发现了它的效果还是挺好的，它的成分非常的特殊，而且涂抹在身上也非常的容易吸收而且用着感觉到清爽并且它还一点也不油腻，让我的宝宝的每一寸肌肤都非常的光滑的。..."
23,"好东西...,凑合，感觉不错...,灰常好...,很赞...,用了感觉不错...,大力推荐...,吸收度很好，抹上去立刻就吃进皮肤里面了，用后滋润程度有所改善，抗衰老的效果还没看出来。...,用起来比较舒服，不会觉得干燥或是油腻的好产品！...,没用过，但是听评价非常之高，一直在找一款美白及改善肤色的精华液。...,向大家推荐一款好用的（保湿美白 功效）产品，肌肤补水很重要！温度每升高一摄氏度，你的肌肤水分就有可能被蒸发10%！ 所以每天喝足够的水很重要，除了补充身体所需的水分之外，还能帮助新陈代谢。保湿永远是护肤的首..."
31,"　　祛斑可以用菲泊丝丽，我以前脸上的不能就是用这个去掉的，身边的朋友有斑的也都去掉了...,　　用菲泊丝丽，平时做好清洁、补水和防晒，效果很快。...,用后痘痘会消点，也没觉得粘腻，还是挺喜欢的。...,多年不发痘痘了，怀孕后额头上发的到处都是，朋友从南非带回来的，用了一段时间疑似有点效果，消下去了大半，又小爆了几颗，哈，不过涂着很舒服清清凉凉的，也没啥黏腻感。...,舒适度和效果比昭贵芦荟胶好，后者偏硬。现在觉得涂这些还不如老老实实涂保湿的乳液。...,因为人在南非，身边的朋友几乎都用这芦荟胶，很好用，当面膜补水都行..., 发个“南非生活芦荟胶”的心得，以前都是用完美芦荟胶，听朋友介绍说这个南非芦荟胶也很好用，用了2支感觉确实不错，会无限回购的。      和完美的比较：质地差不多都很温和，南非的胶要略稀涂后更清爽，完美的胶略...,说实话。没觉得比昭贵好。 价格都差不多。主要没觉得比昭贵水润。...,从接触这个芦荟胶开始，陆陆续续用了有六七支了。夏天就单涂，冬天配合蜗牛霜一起，质感很喜欢，很舒服。...,在南非买过，觉得好用，回来在某宝一搜还真能找到，每天在上粉底液的时候加在里面，感觉会保湿又贴妆..."
33,"关键是真的润润的，用完很舒服。补水应该是够的，针对年轻皮肤。...,不敢用脸上， 胶感十足水感没啥。一天晚上把它当眼膜 厚厚的涂了一层，睡觉去了没擦，第二天 起来眼睛周围是绿色的干掉的固定的胶水 感觉的东西...,玻璃瓶，透着淡淡的绿色，很清新，也很有质感。眼胶有点像果冻，滑滑润润的，有时候懒得贴眼膜，就拿它厚厚的涂一层在眼周围，然后直接睡觉。第二天醒来，大部分都吸收了，眼部肌肤不会有缺水的感觉。偶尔还会配上花...,大爱他家的东西...,BF方程式 海藻芦荟接骨木眼胶 60ml便宜大碗~ 难以抗拒这种啫喱质地的眼霜了，海藻芦荟接骨木的组合 绿玉石般的颜色，沁人心脾的爽快的使用感 主打成分：金缕梅：抗氧化剂，舒缓肌肤 库拉索芦荟凝胶汁：公认品质最好的...,相信群众的眼光...,蛮鸡肋的，补水有点，效果不太明显，不会回购的东西，太鸡肋了。。。...,价格挺实惠的，凝胶状的质地，用起来蛮舒服的，补水效果还不错，其他还未发现...,这段时间对BF家的东西很长草，刚好用完了TBS的接骨木花眼胶，想买同类的眼胶，就买了这款。我觉得这款眼胶比TBS的好用一点，虽然同是凉凉的眼胶，不会担心会长脂肪粒，但是比TBS的滋润一点，也比它的便宜大碗，用来做...,真好，不错..."
34,"用着就为了一个安心，因为脸上的痘痘，怕总用薰衣草的太腻了，所以又买了一个适合痘痘肌的洋甘菊花水。味道太不好闻了，不过时间长会习惯的。没找到替代品前应该会回购。...,好用！！买个小喷瓶。脸会瞬间镇静下来。褪红也有用啊。我真的觉得有用！但是真的臭………巨臭无比…真的很臭。每次喷了脸感觉脸真的散发着巨臭…神仙水在它面前简直属于香水。效果有的。但是治标不治本。只是当时舒...,bf洋甘菊纯露，我只买过一次，味道和薰衣草一样可以接受，但不好闻。据说是抗过敏、消除红血丝的，但是我真心没感到多大效果，她大概是纯露里面唯一让我感到没啥效果的一个了...,瓶口是的设计很容易倒过量，所以200ml的量差不多一个月就用光了 有淡淡的橙花味道，拍完以后3分钟之后那味道就散得差不多了 买来配合海藻面膜用的，涂面膜前拍一次面膜后再拍一次 就是效果挺一般的...,难闻吗- -我怎么觉得还好 做三明治面膜用来泡纸膜的。觉得味道很天然，还不错。...,味道么 习惯了就好了 效果么 大大的好 坚持敷 三明治和水膜轮着来 还能涂头发 发尾拉 发根用迷迭香...,哎，谁用谁知道。这味道啊。额要晕倒了。 要不是冲着抗过敏的，我以后再也不去了~~··效果已经是浮云了。。...,还会回购的...,味道确实很冲，第一次用的时候熏眼睛，后来好一点，味道我就忍了，关键效果一般，我是用来做三明治面膜，对比了它和橙花水，觉得还是橙花水效果更好，味道也更好接受。刚用完一瓶，不会回购。...,我无话可说了。。。。 holly shit。。。老外怎么能受得了这个味道。。早知道先来看看大家的评价了。。。。 看到适用于敏感肌，和可以用化妆棉来缓解劳累的眼睛，我就买了。。。 谁知道是这个。。。。。。。 实在受不..."
35,"挺大一罐的，玫瑰味道很浓，我都是用来敷三明治面膜，一般用在清洁面膜之后，镇静舒缓效果蛮不错的。用完以后皮肤喝饱了水的样子，保湿补水都还是不错的，但是我每次用刚开始都会有刺痛感~~ 总体来说性价比不错。...,便宜大碗，镇静效果很好，拿来敷三明治面膜很好~不过各个都说用很久，我觉得我用的还挺快的，大概真的是吃的速度吧…...,特别适合夏季使用 啊，夏天放到冰箱使用，可以镇定肌肤，舒缓效果很好啊， 美白肌肤，提亮肤色效果也不错。...,很喜欢玫瑰的味道，白菜大碗我终究是没有用完就变质了。喜欢用这种涂抹在脸上的面膜，可以边看电影边敷面膜，嘻嘻~~~除了补水就没有别的作用啦，特别适合大姨妈期间不能用最爱的lush雪糕面膜的时候当替补，哈哈。...,舒缓镇定肌肤补水效果很好啊，特别含有芦荟和海藻精华，补充肌肤蛋白，嫩白肌肤锁水效果很好啊。...,玫瑰味的特别好闻，有点像荔枝的味道，抹在脸上心情愉悦，不过镇定的作用不如芦荟胶，据说玫瑰的美白效果好，目前我还没有发现 ...,以前在国内都用AA网的，可是加国这边买不到啊，刚好朋友做BF的代购，一看产品差不多就买来试试看，超级喜欢玫瑰的这个味道！ 配上他家的无香保湿霜可以做脸霜，配纯露还能做面膜 自从开始做了三明治面膜（每周只做1-...,超大一罐。。。涂上脸很湿润味道也好闻，但要说美白啊啥的效果不明显，就是图个舒服啊哈哈哈~...,500Ml的量满足 够敷好久 太懒没用三明治敷 就上了一层纯露纸膜再上胶 F家永久花纯露搭这个正好美白去印 就这样手牵手做对方的好机油吧 哈哈哈 不过我也试着搭配其他的纯露 ~到时候再看效果啦...,淡淡的玫瑰香味啊，滋润美白肌肤效果很好啊，可以很好的紧致肌肤，有点抗皱的效果啊，很好吸收。..."
36,"味道不是很好闻，真心不喜欢，含有酒精的成分，用在脸上凉凉的，用后感觉皮肤很干净，这点还不错...,这款我是在敷芦荟海藻胶的时候配合纸膜来敷三明治用了，效果很好，使用后肌肤会感觉水水的，很舒服...,用了感觉不错...,推荐给大家...,好...,化妆水，是永远离不开我身边的好东东，无论是家里还是办公室，还是包包里，我都会放一瓶，随时随地给肌肤补水！促进细胞再生，平衡油脂分泌，并能清洁皮肤，消毒抗菌...,我的皮肤属于混合型皮肤，刚洗完脸皮肤干燥，有时候还会起皮。用双手沾满这个水，切忌别大量哦，一点就够。然后轻拍在脸上，会让你看起来脸不是那么的灰暗，非常有光泽。但是，过一段时间，皮肤又会出油，油光满面，...,还行吧...,最主要是有舒缓的效果，那个时候脸部不知道怎么着有时会痒痒的，不舒服，用这个肌肤会有一种舒缓的感觉，另外配合这个的成分有种清凉的感觉，蛮好用的...,我皮肤原来一直很敏感，脸上老起东西，看了N次医生，擦了好多东西都不管。没想到用这个一瓶还没用完皮肤就好了好多，脸上东西都下去了，皮肤也不是很敏感了，反正真的是我的心头大爱！！一定会坚持用下去，改善肌肤的..."
37,"用着很不错，看着油，压在脸上很好吸收，一点儿也不油。晚上直接用，早上滴一滴在粉底里，滋润不卡粉。我最近干皮有些敏感，用了有缓解。...,用处非常多，用来防妊娠纹的，也可以涂脸，会辣眼睛...,不同于其他的 护 理 油 油 腻 不 吸 收，百 洛 油 油分子比较小，很容易被吸收，不会觉得油 腻感。而且还可以护 发，淡 化 痘 印 和 疤 痕 等多种用途，蚊 虫叮咬的疤 痕用它也 能 够 淡化哦...,怀孕四个多月发现了两条妊娠纹，上屈臣氏买了百洛油，天天涂，一点用都没有，纹越来越多，现在都数不清，产后肚子好多纹啊啊啊啊啊，好难过...,没人告诉我略略有点风油精味道么……...,有些油腻 用了几次给妈妈了 也没什么效果 可能因为我用的时间短...,因为前年乱用化妆品导致皮肤敏感爆豆  听说百洛油去疤痕有用，就买了它  对新生的痘印真的很有效果  另外我发现它有均匀肤色和保湿作用  冬天可以替代面霜，去年冬天都在用它，感觉很不错  后来不长痘痘了，就用它来...,疤痕形成初期马上涂，每天涂，涂抹后加上按摩有助吸收。对新疤痕很有效...,孕期用来防妊娠纹。涂完没有长，不过我应该不是长纹的体制。比娇韵诗的合适...,用来涂身体了，需要在半干的时候涂抹，不然会觉得特别油腻不吸收，用了几次后觉得皮肤变得比较柔软。味道挺好闻。性价比不算太高。..."
38,"看好评太多了才买的，上面好刺痛啊。要不是官网买的都会怀疑假的了。用了两次实在受不了了，就放在那没动了，现在都不知道怎么办。然后邮来的时候盖子还有点裂了。总之跟风需谨慎啊。...,好用！...,买来做三明治面膜的，很大碗，感觉怎么都用不完，单用的话会搓泥，有酒精味，不会回购了。...,以前喜欢用彼得罗夫小黄瓜。看到有人说这个好用才购入的。好大一瓶。感觉有点黏腻。吸收完了没什么特别的效果。怎么都用不完。不会回购。...,在聚美优品买的，不知道是真的假的，用上后脸特别有刺痛感，一闻酒精味特别大，但查过防伪标识也是真的，现在都不敢用了...,很喜欢，三明治面膜很舒服，便宜大碗，还能美白。不过因为懒很久没有用了。..., 芦荟本来就是很好的东西，补水镇静消炎，晒后修复舒缓，什么都可以用。   这个海藻胶是因为三明治面膜顺便火起来的，但我买来以后没有那么用过。我觉得面膜纸以外的那层很浪费啊，不是很能理解。   这个跟宫灯杏仁面...,就这个巨大的容量和不错的补水效果来说，值得长期购买。而且有真伪查询标，不太容易买到假的。...,太大碗了，敷脸很好，就是太难用完了，哈哈，不过敏不致痘，挺好的...,几乎天天都有用它做三明治面膜，感觉非常舒服，很喜欢..."
39,"非常好...,大家都知道茶树精油是用来对付痘痘的，还有有些伤口，这个真是居家旅行的必备好嘛？...,一般都是用来点涂脓肿的痘痘了，效果还不错，也可以用来点涂在伤口上，有杀毒消炎的作用...,在脚盆中倒入热水，滴上5滴芳香按摩油，然后坐着泡上10分钟，再听上一曲蔡琴的音乐，作上几个深呼吸。哇噻，那感觉真得太棒了。当然，那晚我睡得特别香甜。...,迷迭香精油，可以收敛紧实皮肤，改善肌肤松弛，恢复肌肤弹性光滑，这真是我现在这个阶段，想要解决的自身皮肤问题。迷迭香精油有很强的收缩作用，紧缩松弛的肌肤，还可减轻充血、肿胀的情形；能改善头皮屑，刺激毛发...,好东西...,平平吧...,一直在用这款...,真好，不错...,一直在熏香使用，空气中弥漫着精油的味道，闻后很舒心，整个人都得到放松。..."
