"id","shop_price","shop_title","shop_category_1","shop_category_2","shop_brand","suitableForSkinType","howManyPeopleWantToUse","howManyPeopleLikeToUseIt","howManyComments","shop_comment"
"1","52.0","安利丝婷去屑调理洗发露","美发","洗发水","安利 (Amway)",,"1106","1060","355","洗后没效果，不好用...,我用了感觉有明显的变化,那些喜欢有泡沫的同志,我只想说泡沫只是一种化学成分，对人体伤害很大的，那些廉价的洗发露虽然有很多泡沫，可是用了并没有好转，反而对发质有伤害，还有一分钱一分货，网上是便宜可是那是假...,味道清新，但是！没有泡沫！！！！！。。。。。。。。。。。。。。。。。。。。。。。。。...,无功无过的洗发水吧，用起来很一般，没有什么特别的，味道清爽，去屑的效果一般，价格倒是不是很便宜哦。...,不喜欢的香味，而且不容易起泡泡，泡沫太少，洗后头发也没怎么样，不会买。...,大爱他家的东西...,爸妈一直用这个洗发水，去除头皮屑还是比较有效的，用量也比较省，就是起泡不会特别丰富，但是清洁还不错...,爸爸单位发的货。 我没有什么头屑，所以基本没用出去屑的效果 但是真的比较难用，头发会打结，一点儿也不顺滑，而且还会头皮痒啊！！！！ 安利的洗发和护法产品怎么那么难用啊...,很好的产品，我要申请。...,用起来还行..."
"2","391.0","芬迪迷恋芬迪香氛","香氛","女士香水","芬迪 (FENDI)","香水","796","766","25","内买的。Edt嘛，比较淡。味道比较大陆。一般般～...,刚开始的前调不是我很爱的那种，但是朋友的强烈推荐我闻了它的中调，毫不犹豫要下了它.....绝无仅有的特别!...,我很喜欢...,力挺这款...,挺好的...,挺好的...,没什么感觉...,香水外国牌子多，而且瓶子上功夫都下不少，非凡的精致、漂亮。 光瓶子就让人喜欢得不得了。还没有用过香水呢，不知道到底有什么效果。 期待！...,七夕情人节老公送的礼物。当时去专柜闻了很多香型，最后还是选择了这款。...,看起来不错！一定要试一下！..."
"3","85.0","封面女郎凝亮炫色唇彩","彩妆","口红","封面女郎 (COVER GIRL)","不防水","968","992","49","支持一下...,赞一个...,灰常好...,这款唇彩超级好用，滋润度很好，味道也很好闻，估计会一直用。...,单独涂抹，还是配搭唇膏使用，璀璨光芒都将闪现唇间。...,一直很喜欢，不过一直没买，主要是太可爱的会不舍得用，小小的又怕丢...,买了2合眼影 赠送了一只正品唇彩，还好呢
香味比较适合...,这款唇彩，味道清新，涂在唇上的保湿效果相当不错，而且嘴唇看起来很亮很饱满，比较性感。...,有点小小失望...,我买化妆品最喜欢买的就是粉底和口红，特别是口红，早上上班时我宁愿在床上多赖几分钟，也懒的化妆，只在上班前拿一只口红随便擦擦，口红对提亮肤色和显出好的气色真的有大作同，一般我很少用唇彩，喜欢用唇膏。这个..."
"4","590.0","芬迪迷恋芬迪淡香氛","香氛","女士香水","芬迪 (FENDI)","淡香水","1094","778","28","情人节给自己买的礼物，挑了好久，基本没怎么用。...,干练的女香，而且有一种不腻的甜味，就是很独立的女性即视感啊，但又不失温婉的那种...,初闻被它特别的气味吸引，和其他一众香氛都不一样，干练简洁feel，但入手一年也未用几回，果然我还是更钟爱甜美范儿…...,很棒的产品，推荐...,用了很惊喜...,挺好的...,用了感觉不错...,很女人的香，虽然说是淡香水，但我觉得也挺浓的，味道一般吧，就瓶子好看...,很好闻的香香的味道，温和不刺激，留香时间还可以，不很很短也不是很长，主要是味道真的好好闻。...,就那样吧，一般..."
"5","520.0","Fresh馥蕾诗澄糖亮颜磨砂面膜","面部护理","面膜","Fresh馥蕾诗 (fresh)","清洗型面膜","833","970","1133","好几天没洗脸，想着用一下这个面膜去去角质，用完了实在是太惊喜了！感觉脸亮白了一点点，而且皮肤变得又细又嫩，毛孔都小了很多。很喜欢！...,喜欢她家的味道，温和去角质，棒...,物理性的去角质产品，敏感皮表示伤不起。...,磨砂颗粒小 不刺激皮肤 味道太好闻了吧 洗后皮肤有细腻点...,我是混油肌 需要定期去角质 这款产品很温和 最突出的是味道好闻 上了一天班 闻这个味道 感觉身心放松 很享受 有柠檬的味道 做面膜前去个角质 做面膜效果会更好...,味道超级好闻，甜甜的，效果也不错...,确实使用后有效果，一瓶很耐用...,味道真心好闻，感觉随时忍不住会吃掉。...,买的小样回来试用的，到手分给了办公室的姐姐们一人一袋，获到了一致好评～然后终于有时间拿出来用了！味道甜甜的很喜欢！fresh家的产品都是纯天然无添加，办公室的姐姐敏感肌也没有过敏。这款是去角质的～用完之后一...,大牌护肤品的使用感超棒，弄一点在湿润的脸上轻柔的打圈按摩，待它慢慢融化之后用清水洗去，肌肤变得软软的，很干净柔和，还不干，简直太棒，回购..."
"6","35.0","佛罗浪丝圆盒单色眼影","彩妆","眼影","佛罗浪丝 (Prorance)",,"832","1020","28","粉质细腻，丝般光滑，易于上色，色泽持久，妆容舒美。含有珠光颗粒，感觉还不错，蛮闪耀的~~~...,跟风失败...,没那么好用...,还可以的...,跟风失败了...,他家东西物美价廉，这款眼影粉是我非常喜欢的，我每天都用，在他的魔力下我的眼睛神说而又美丽。...,涂上它，你似乎可以感受到聚光灯的照射，你似乎可以感觉到人们惊艳的目光，而你，就是魔力所在。...,就喜欢这个...,能衬出绝美肌肤的眼部妆容是怎样的？各种色彩纤细光泽的叠加，阴影突显，立体感油然而生。颜色很适合亚洲人的肤色，自然好搭，易上色，粉质细腻服帖。...,不会买了，很一般..."
"7","35.0","佛罗浪丝单色腮红","彩妆","腮红","佛罗浪丝 (Prorance)",,"968","1092","31","非常棒的产品...,我很喜欢...,非常好...,还会回购的...,爱这款...,虽然看上去的包装没有什么特别的地方，但是这款腮红很显色，颜色的选择也很多哦...,香味很好闻，不容易掉妆，粉质也很细腻，家里腮红好多啊！...,自己看不出来，但用后别人都赞我气色好，果然贴服自然得有浑然天成的效果了，呵呵！...,淡淡的香味也让人爱不释手，可以打造出刚出浴一样的红晕脸颊哦。哈，真的很喜欢。...,一直在用这款..."
"8","0.0","Everyday Minerals天然矿物粉状粉底","彩妆","粉底","Everyday Minerals (everydayminerals)","SPF12～30","1132","1186","79","超级好，用的是mineral veil，珠光白。控油防晒，补妆，您值得拥有！...,底妆是一切美丽的基础，妆容里最重要的就是底妆，底妆如果打的好整个人都会有好气色，否则会给美丽打折扣。独家创新质地让霜状粉底，立即转化为液态粉底精华，在肌肤表面极易延展，与肌肤完美融合．
轻薄、无感，如轻...,买了一堆，用了出粉刺了，基本没控油效果，鼻子猛出油...,这个是我用过最放心的粉底了 用了皮肤完全不会暗沉 不爆豆 不伤皮 遮盖力一般 上的多了有粉感 就是色号比较偏 想要完全贴合自己肤色的可能要买个两盒混用 比较麻烦...,很赞...,顶这款...,感觉不大...,这款口碑不错的...,用BB霜长痘... 后来我就一直隔离+粉饼 没用过粉底液,因为好的都很贵!我才是正宗的穷学生好吗! 我入的是半亚光自然色 跟本身的肤色灰常接近... 抹了只会觉得皮肤的质感不错,不至于白但是会觉得很有光泽.. 而且不脱妆 ...,买了一套这个牌子的底妆，矿物粉底比较不伤皮肤~感觉用起来非常省，每次一点点的粉就能擦完整个脸和脖子，当然用这种粉状的粉底一定要配专业的刷子，我是搭配受受狼家的矿物粉刷用的，真心轻薄无痕自然到透明的妆效啊..."
"9","233.0","芬迪迷恋淡香氛","香氛","女士香水","芬迪 (FENDI)","淡香水","1152","1096","28","樱花版的这个真的很好闻 淡淡的。又不甜不腻 盒子也很简洁大气。还不容易撞香 西瓜红 红色粉色系的衣服很适合这个香气 难撞香...,丝弗兰买的 我好象还写过帖子 现在一致在用，用了一年多了 喜欢喷衣服上，味道不太持久，但很好闻 不过不会回购啦 香水一瓶真的能用很久 所以还是应该买小瓶的 不过还是推荐的...,非常难撞香。高大上的味道。 不是那种甜美范。冬天很适合。味道淡 觉得比迷恋浓香氛好闻。留香不短 也不长。但是淡淡的萦绕的那种味道 让人爱不释手...,丝弗兰八百多买的 感觉一般 不值得...,用起来还行...,就用这个一直都是...,我很喜欢...,好东西...,前味有一丁点不大好闻但是很快就散开，春秋天喷不错，或者学生喷喷也不错...,很喜欢这款产品，经常见到这个品牌的香水。..."
"10","0.0","ALOEMASTERCARE芦荟紧致水份膏","面部护理","面霜","ALOEMASTERCARE (aloemastercare)",,"1120","996","24","　　激光祛斑效果怎么样不太清楚，我脸上的斑点是用老公给我买的菲-泊-丝-丽才慢慢的去掉的。...,脸蛋的斑真的很烦恼，之前一直觉得脸蛋的斑去不掉了，那么丑，后来要不是菲泊丝丽，现在脸蛋的斑还在呢，现在斑不但没了，皮肤也变得好很多，出去耍脸蛋也是白白的...,我很喜欢...,非常棒的产品...,我很喜欢...,非常好...,不是那么的好用...,吸收好，用后皮肤紧致光润，适合所有肌肤，所有年龄使用。...,很好推开，延展性很好，水水润润的，很好吸收！使用后皮肤湿润有光泽，皮肤充满生机！...,第一次使用ALOEMASTERCARE这个牌子的产品，感觉很不错，期待后续完美效果。会上来向JMS报告战果啦！..."
